id,quality_grade,url,image_url,species_guess,scientific_name,common_name
8788660,research,https://www.inaturalist.org/observations/8788660,https://inaturalist-open-data.s3.amazonaws.com/photos/11796983/medium.jpg,Mallard,Anas platyrhynchos,Кряква
11446687,research,https://www.inaturalist.org/observations/11446687,https://inaturalist-open-data.s3.amazonaws.com/photos/16329151/medium.jpg,Кряква,Anas platyrhynchos,Кряква
12887544,research,https://www.inaturalist.org/observations/12887544,https://static.inaturalist.org/photos/18712367/medium.jpg,Canard colvert,Anas platyrhynchos,Кряква
13050486,research,https://www.inaturalist.org/observations/13050486,https://inaturalist-open-data.s3.amazonaws.com/photos/18998054/medium.jpg,Mallard,Anas platyrhynchos,Кряква
13647029,research,https://www.inaturalist.org/observations/13647029,https://static.inaturalist.org/photos/20091128/medium.jpeg,Mallard,Anas platyrhynchos,Кряква
14067376,research,https://www.inaturalist.org/observations/14067376,https://inaturalist-open-data.s3.amazonaws.com/photos/20821655/medium.jpeg,Mallard,Anas platyrhynchos,Кряква
18090326,research,https://www.inaturalist.org/observations/18090326,https://static.inaturalist.org/photos/27658172/medium.jpg,Кряква,Anas platyrhynchos,Кряква
18692443,research,https://www.inaturalist.org/observations/18692443,https://inaturalist-open-data.s3.amazonaws.com/photos/28618346/medium.jpg,Germano reale,Anas platyrhynchos,Кряква
19706856,research,https://www.inaturalist.org/observations/19706856,https://inaturalist-open-data.s3.amazonaws.com/photos/30358877/medium.jpg,Кряква,Anas platyrhynchos,Кряква
19707022,research,https://www.inaturalist.org/observations/19707022,https://inaturalist-open-data.s3.amazonaws.com/photos/30359177/medium.jpg,Canard colvert,Anas platyrhynchos,Кряква
19991094,research,https://www.inaturalist.org/observations/19991094,https://inaturalist-open-data.s3.amazonaws.com/photos/30854150/medium.jpg,Кряква,Anas platyrhynchos,Кряква
21000174,research,https://www.inaturalist.org/observations/21000174,https://inaturalist-open-data.s3.amazonaws.com/photos/32433676/medium.jpeg,Кряква,Anas platyrhynchos,Кряква
21453778,research,https://www.inaturalist.org/observations/21453778,https://inaturalist-open-data.s3.amazonaws.com/photos/33192399/medium.jpeg,Germano reale,Anas platyrhynchos,Кряква
21453780,research,https://www.inaturalist.org/observations/21453780,https://inaturalist-open-data.s3.amazonaws.com/photos/33192410/medium.jpeg,Кряква,Anas platyrhynchos,Кряква
21453813,research,https://www.inaturalist.org/observations/21453813,https://inaturalist-open-data.s3.amazonaws.com/photos/33192824/medium.jpeg,Кряква,Anas platyrhynchos,Кряква
