id,quality_grade,url,image_url,species_guess,scientific_name,common_name
14564928,research,https://www.inaturalist.org/observations/14564928,https://static.inaturalist.org/photos/21701448/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
15776266,research,https://www.inaturalist.org/observations/15776266,https://static.inaturalist.org/photos/23571931/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
17361535,research,https://www.inaturalist.org/observations/17361535,https://inaturalist-open-data.s3.amazonaws.com/photos/26365355/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
18168900,research,https://www.inaturalist.org/observations/18168900,https://inaturalist-open-data.s3.amazonaws.com/photos/27771794/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
18168901,research,https://www.inaturalist.org/observations/18168901,https://inaturalist-open-data.s3.amazonaws.com/photos/27771822/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
18168903,research,https://www.inaturalist.org/observations/18168903,https://inaturalist-open-data.s3.amazonaws.com/photos/27771827/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
19571877,research,https://www.inaturalist.org/observations/19571877,https://inaturalist-open-data.s3.amazonaws.com/photos/30127679/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
19804208,research,https://www.inaturalist.org/observations/19804208,https://inaturalist-open-data.s3.amazonaws.com/photos/30525438/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
20166464,research,https://www.inaturalist.org/observations/20166464,https://inaturalist-open-data.s3.amazonaws.com/photos/31112448/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
20380131,research,https://www.inaturalist.org/observations/20380131,https://inaturalist-open-data.s3.amazonaws.com/photos/31473948/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
21071777,research,https://www.inaturalist.org/observations/21071777,https://inaturalist-open-data.s3.amazonaws.com/photos/32558430/medium.jpg,Серебристая Чайка,Larus argentatus,Серебристая чайка
22547579,research,https://www.inaturalist.org/observations/22547579,https://inaturalist-open-data.s3.amazonaws.com/photos/34934176/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
27140136,research,https://www.inaturalist.org/observations/27140136,https://inaturalist-open-data.s3.amazonaws.com/photos/42197024/medium.jpg,Silbermöwe,Larus argentatus,Серебристая чайка
28652805,research,https://www.inaturalist.org/observations/28652805,https://static.inaturalist.org/photos/44680111/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
29043990,research,https://www.inaturalist.org/observations/29043990,https://inaturalist-open-data.s3.amazonaws.com/photos/45311308/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
29091170,needs_id,https://www.inaturalist.org/observations/29091170,https://inaturalist-open-data.s3.amazonaws.com/photos/45386415/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
31331074,research,https://www.inaturalist.org/observations/31331074,https://inaturalist-open-data.s3.amazonaws.com/photos/49027791/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
33701460,research,https://www.inaturalist.org/observations/33701460,https://inaturalist-open-data.s3.amazonaws.com/photos/52959210/medium.jpeg,Goéland argenté,Larus argentatus,Серебристая чайка
33819840,research,https://www.inaturalist.org/observations/33819840,https://inaturalist-open-data.s3.amazonaws.com/photos/53158678/medium.jpg,Silbermöwe,Larus argentatus,Серебристая чайка
34530207,research,https://www.inaturalist.org/observations/34530207,https://static.inaturalist.org/photos/54355780/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
35481581,research,https://www.inaturalist.org/observations/35481581,https://inaturalist-open-data.s3.amazonaws.com/photos/55950893/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
37267736,research,https://www.inaturalist.org/observations/37267736,https://inaturalist-open-data.s3.amazonaws.com/photos/59050673/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
37451156,research,https://www.inaturalist.org/observations/37451156,https://inaturalist-open-data.s3.amazonaws.com/photos/59373402/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
37451366,research,https://www.inaturalist.org/observations/37451366,https://inaturalist-open-data.s3.amazonaws.com/photos/59373817/medium.jpeg,Zilvermeeuw,Larus argentatus,Серебристая чайка
37451676,research,https://www.inaturalist.org/observations/37451676,https://inaturalist-open-data.s3.amazonaws.com/photos/59373995/medium.jpeg,Zilvermeeuw,Larus argentatus,Серебристая чайка
37451708,research,https://www.inaturalist.org/observations/37451708,https://inaturalist-open-data.s3.amazonaws.com/photos/59374268/medium.jpeg,Zilvermeeuw,Larus argentatus,Серебристая чайка
37813736,research,https://www.inaturalist.org/observations/37813736,https://inaturalist-open-data.s3.amazonaws.com/photos/60022195/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
38113767,research,https://www.inaturalist.org/observations/38113767,https://static.inaturalist.org/photos/60528962/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
39211811,research,https://www.inaturalist.org/observations/39211811,https://inaturalist-open-data.s3.amazonaws.com/photos/62179129/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
39532784,research,https://www.inaturalist.org/observations/39532784,https://inaturalist-open-data.s3.amazonaws.com/photos/62729099/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
40135147,research,https://www.inaturalist.org/observations/40135147,https://inaturalist-open-data.s3.amazonaws.com/photos/63749534/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
40135158,research,https://www.inaturalist.org/observations/40135158,https://inaturalist-open-data.s3.amazonaws.com/photos/63749578/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
40632330,research,https://www.inaturalist.org/observations/40632330,https://inaturalist-open-data.s3.amazonaws.com/photos/64405516/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
40696474,research,https://www.inaturalist.org/observations/40696474,https://inaturalist-open-data.s3.amazonaws.com/photos/64513348/medium.jpg,Gabbiano reale nordico,Larus argentatus,Серебристая чайка
40696492,research,https://www.inaturalist.org/observations/40696492,https://inaturalist-open-data.s3.amazonaws.com/photos/64513412/medium.jpg,Gabbiano reale nordico,Larus argentatus,Серебристая чайка
40953004,research,https://www.inaturalist.org/observations/40953004,https://inaturalist-open-data.s3.amazonaws.com/photos/64933141/medium.jpg,Goéland argenté,Larus argentatus,Серебристая чайка
40973579,research,https://www.inaturalist.org/observations/40973579,https://inaturalist-open-data.s3.amazonaws.com/photos/64968208/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
41217768,research,https://www.inaturalist.org/observations/41217768,https://inaturalist-open-data.s3.amazonaws.com/photos/65367916/medium.jpg,Goéland argenté,Larus argentatus,Серебристая чайка
41824566,research,https://www.inaturalist.org/observations/41824566,https://inaturalist-open-data.s3.amazonaws.com/photos/66365611/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
41824584,research,https://www.inaturalist.org/observations/41824584,https://inaturalist-open-data.s3.amazonaws.com/photos/66365643/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
41927316,research,https://www.inaturalist.org/observations/41927316,https://inaturalist-open-data.s3.amazonaws.com/photos/66535472/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
42169727,research,https://www.inaturalist.org/observations/42169727,https://inaturalist-open-data.s3.amazonaws.com/photos/66942643/medium.jpg,Goéland argenté,Larus argentatus,Серебристая чайка
42316609,needs_id,https://www.inaturalist.org/observations/42316609,https://inaturalist-open-data.s3.amazonaws.com/photos/67185441/medium.jpg,Серебристая Чайка,Larus argentatus,Серебристая чайка
44463642,research,https://www.inaturalist.org/observations/44463642,https://static.inaturalist.org/photos/70498796/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
44844616,research,https://www.inaturalist.org/observations/44844616,https://inaturalist-open-data.s3.amazonaws.com/photos/71093784/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
45101904,research,https://www.inaturalist.org/observations/45101904,https://static.inaturalist.org/photos/71503908/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
50791590,research,https://www.inaturalist.org/observations/50791590,https://inaturalist-open-data.s3.amazonaws.com/photos/80674011/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
50791596,research,https://www.inaturalist.org/observations/50791596,https://inaturalist-open-data.s3.amazonaws.com/photos/80674074/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
51292847,research,https://www.inaturalist.org/observations/51292847,https://static.inaturalist.org/photos/81481545/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
51370578,research,https://www.inaturalist.org/observations/51370578,https://static.inaturalist.org/photos/81610334/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
52587158,research,https://www.inaturalist.org/observations/52587158,https://static.inaturalist.org/photos/83604223/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
53091928,research,https://www.inaturalist.org/observations/53091928,https://static.inaturalist.org/photos/84426897/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
55463481,research,https://www.inaturalist.org/observations/55463481,https://static.inaturalist.org/photos/88319821/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
56833641,research,https://www.inaturalist.org/observations/56833641,https://inaturalist-open-data.s3.amazonaws.com/photos/90599477/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
56922427,research,https://www.inaturalist.org/observations/56922427,https://static.inaturalist.org/photos/90749726/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
56922498,research,https://www.inaturalist.org/observations/56922498,https://static.inaturalist.org/photos/90749853/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
56924793,research,https://www.inaturalist.org/observations/56924793,https://static.inaturalist.org/photos/90753587/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
56925185,research,https://www.inaturalist.org/observations/56925185,https://static.inaturalist.org/photos/90754139/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
56925240,research,https://www.inaturalist.org/observations/56925240,https://static.inaturalist.org/photos/90754248/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
56925350,research,https://www.inaturalist.org/observations/56925350,https://static.inaturalist.org/photos/90754542/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
56925370,research,https://www.inaturalist.org/observations/56925370,https://static.inaturalist.org/photos/90754598/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
56931242,research,https://www.inaturalist.org/observations/56931242,https://static.inaturalist.org/photos/90764886/medium.jpeg,Goéland argenté,Larus argentatus,Серебристая чайка
57337317,research,https://www.inaturalist.org/observations/57337317,https://static.inaturalist.org/photos/91447549/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
57337602,research,https://www.inaturalist.org/observations/57337602,https://static.inaturalist.org/photos/91448032/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
57438441,research,https://www.inaturalist.org/observations/57438441,https://static.inaturalist.org/photos/91619144/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
60711609,research,https://www.inaturalist.org/observations/60711609,https://static.inaturalist.org/photos/97098344/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
60715302,research,https://www.inaturalist.org/observations/60715302,https://static.inaturalist.org/photos/97104053/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
60715534,research,https://www.inaturalist.org/observations/60715534,https://static.inaturalist.org/photos/97104402/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
61332864,research,https://www.inaturalist.org/observations/61332864,https://static.inaturalist.org/photos/98133418/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
62209182,research,https://www.inaturalist.org/observations/62209182,https://inaturalist-open-data.s3.amazonaws.com/photos/99643493/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
63343346,research,https://www.inaturalist.org/observations/63343346,https://static.inaturalist.org/photos/101640489/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
64604298,research,https://www.inaturalist.org/observations/64604298,https://inaturalist-open-data.s3.amazonaws.com/photos/105058279/medium.jpg,Серебристая Чайка,Larus argentatus,Серебристая чайка
64605119,research,https://www.inaturalist.org/observations/64605119,https://inaturalist-open-data.s3.amazonaws.com/photos/103887425/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
64605121,needs_id,https://www.inaturalist.org/observations/64605121,https://inaturalist-open-data.s3.amazonaws.com/photos/103887443/medium.jpg,Серебристая Чайка,Larus argentatus,Серебристая чайка
64610324,research,https://www.inaturalist.org/observations/64610324,https://inaturalist-open-data.s3.amazonaws.com/photos/103894080/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
64610327,research,https://www.inaturalist.org/observations/64610327,https://inaturalist-open-data.s3.amazonaws.com/photos/103894071/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
64610328,research,https://www.inaturalist.org/observations/64610328,https://inaturalist-open-data.s3.amazonaws.com/photos/103894115/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
64610346,research,https://www.inaturalist.org/observations/64610346,https://inaturalist-open-data.s3.amazonaws.com/photos/103896209/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
64611376,research,https://www.inaturalist.org/observations/64611376,https://inaturalist-open-data.s3.amazonaws.com/photos/103898982/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
65287126,research,https://www.inaturalist.org/observations/65287126,https://inaturalist-open-data.s3.amazonaws.com/photos/105052509/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
65287140,research,https://www.inaturalist.org/observations/65287140,https://inaturalist-open-data.s3.amazonaws.com/photos/105052671/medium.jpg,Goéland argenté,Larus argentatus,Серебристая чайка
65291258,research,https://www.inaturalist.org/observations/65291258,https://inaturalist-open-data.s3.amazonaws.com/photos/105058507/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
65291516,research,https://www.inaturalist.org/observations/65291516,https://inaturalist-open-data.s3.amazonaws.com/photos/105060752/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
65292357,research,https://www.inaturalist.org/observations/65292357,https://inaturalist-open-data.s3.amazonaws.com/photos/105061518/medium.jpg,Herring Gull,Larus argentatus,Серебристая чайка
66106744,research,https://www.inaturalist.org/observations/66106744,https://inaturalist-open-data.s3.amazonaws.com/photos/106496761/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
66192795,research,https://www.inaturalist.org/observations/66192795,https://inaturalist-open-data.s3.amazonaws.com/photos/106658243/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
66459642,research,https://www.inaturalist.org/observations/66459642,https://static.inaturalist.org/photos/107142423/medium.jpeg,Goéland argenté,Larus argentatus,Серебристая чайка
66669914,research,https://www.inaturalist.org/observations/66669914,https://inaturalist-open-data.s3.amazonaws.com/photos/107526974/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
66703144,research,https://www.inaturalist.org/observations/66703144,https://inaturalist-open-data.s3.amazonaws.com/photos/107590843/medium.jpeg,Zilvermeeuw,Larus argentatus,Серебристая чайка
67049546,research,https://www.inaturalist.org/observations/67049546,https://inaturalist-open-data.s3.amazonaws.com/photos/108231916/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
67049548,research,https://www.inaturalist.org/observations/67049548,https://inaturalist-open-data.s3.amazonaws.com/photos/108231924/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
67049551,research,https://www.inaturalist.org/observations/67049551,https://inaturalist-open-data.s3.amazonaws.com/photos/108231948/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
67049552,research,https://www.inaturalist.org/observations/67049552,https://inaturalist-open-data.s3.amazonaws.com/photos/108231960/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
67050044,research,https://www.inaturalist.org/observations/67050044,https://inaturalist-open-data.s3.amazonaws.com/photos/108233447/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
67203799,research,https://www.inaturalist.org/observations/67203799,https://inaturalist-open-data.s3.amazonaws.com/photos/108520429/medium.jpeg,Harmaalokki,Larus argentatus,Серебристая чайка
67355939,research,https://www.inaturalist.org/observations/67355939,https://inaturalist-open-data.s3.amazonaws.com/photos/108804178/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
67355945,research,https://www.inaturalist.org/observations/67355945,https://inaturalist-open-data.s3.amazonaws.com/photos/108804189/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
67401659,research,https://www.inaturalist.org/observations/67401659,https://inaturalist-open-data.s3.amazonaws.com/photos/108889534/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
67523851,research,https://www.inaturalist.org/observations/67523851,https://inaturalist-open-data.s3.amazonaws.com/photos/109112834/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
67523852,research,https://www.inaturalist.org/observations/67523852,https://inaturalist-open-data.s3.amazonaws.com/photos/109112996/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
67670071,research,https://www.inaturalist.org/observations/67670071,https://inaturalist-open-data.s3.amazonaws.com/photos/109390004/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
67714094,research,https://www.inaturalist.org/observations/67714094,https://inaturalist-open-data.s3.amazonaws.com/photos/109474076/medium.jpeg,Herring Gull,Larus argentatus,Серебристая чайка
67714103,research,https://www.inaturalist.org/observations/67714103,https://inaturalist-open-data.s3.amazonaws.com/photos/109474111/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
69516736,research,https://www.inaturalist.org/observations/69516736,https://inaturalist-open-data.s3.amazonaws.com/photos/112812050/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
69557040,research,https://www.inaturalist.org/observations/69557040,https://inaturalist-open-data.s3.amazonaws.com/photos/112886856/medium.jpg,Серебристая чайка,Larus argentatus,Серебристая чайка
69574393,research,https://www.inaturalist.org/observations/69574393,https://inaturalist-open-data.s3.amazonaws.com/photos/112915488/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
69577586,research,https://www.inaturalist.org/observations/69577586,https://inaturalist-open-data.s3.amazonaws.com/photos/112925260/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
69624064,research,https://www.inaturalist.org/observations/69624064,https://static.inaturalist.org/photos/113010863/medium.jpeg,Серебристая чайка,Larus argentatus,Серебристая чайка
69925153,research,https://www.inaturalist.org/observations/69925153,https://inaturalist-open-data.s3.amazonaws.com/photos/113577611/medium.jpeg,Goéland argenté,Larus argentatus,Серебристая чайка
69925154,research,https://www.inaturalist.org/observations/69925154,https://inaturalist-open-data.s3.amazonaws.com/photos/113577617/medium.jpeg,Goéland argenté,Larus argentatus,Серебристая чайка
69925155,research,https://www.inaturalist.org/observations/69925155,https://inaturalist-open-data.s3.amazonaws.com/photos/113577631/medium.jpeg,Goéland argenté,Larus argentatus,Серебристая чайка
